sa2_maincode_2016,sa2_code_2021,ratio
210051249,210051544,0.4449367
210051249,210051545,0.5550633
210051250,210051250,1.0
210051441,210051441,1.0
210051442,210051442,1.0
210051443,210051443,1.0
210051444,210051445,0.0006206
210051444,210051542,0.3904751
210051444,210051543,0.6089043
210051445,210051445,1.0
211011251,211011251,1.0
211011254,211011254,1.0
211011255,211011255,1.0
211011256,211011256,1.0
211011257,211011257,1.0
211011258,211011258,1.0
211011259,211011259,1.0
211011260,211011260,1.0
211011446,211011446,1.0
211011447,211011447,1.0
211011448,211011448,1.0
211011449,211011449,1.0
211021261,211021261,1.0
211021262,211021262,1.0
211031263,211031263,1.0
211031265,211031265,1.0
211031266,211031266,1.0
211031267,211031267,1.0
211031268,211031268,1.0
211031450,211031450,1.0
211031451,211031451,1.0
211031452,211031452,1.0
211041269,211041269,1.0
211041270,211041270,1.0
211041271,211041271,1.0
211041272,211041272,1.0
211041273,211041273,1.0
211051274,211051274,1.0
211051275,211051275,1.0
211051276,211051276,1.0
211051277,211051277,1.0
211051278,211051278,1.0
211051279,211051279,1.0
211051280,211051280,1.0
211051281,211051281,1.0
211051282,211051282,1.0
211051283,211051283,1.0
211051284,211051284,1.0
211051285,211051285,1.0
211051286,211051286,1.0
212011287,212011546,0.991505
212011287,212011548,0.0032367
212011287,212011550,0.0052583
212011288,212011547,0.9801687
212011288,212011549,0.0144002
212011288,212011551,0.0054311
212011289,212011289,1.0
212011290,212011548,1.0
212011291,212011549,0.7411182
212011291,212011550,0.2588818
212011292,212011548,0.0002463
212011292,212011551,0.1643697
212011292,212011552,0.835384
212021293,212021293,1.0
212021294,212021553,0.6408804
212021294,212021554,0.3591196
212021295,212021295,1.0
212021297,212021297,1.0
212021299,212021299,1.0
212021453,212021453,1.0
212021454,212021454,1.0
212021455,212021455,1.0
212021456,212021456,1.0
212031300,212031300,1.0
212031301,212031555,0.108983
212031301,212031556,0.0122343
212031301,212031557,0.7173087
212031301,212031558,0.1614741
212031302,212031559,0.4135078
212031302,212031560,0.5864922
212031303,212031303,1.0
212031304,212031304,1.0
212031305,212031561,0.4866122
212031305,212031562,0.5133878
212031306,212031306,1.0
212031308,212031308,1.0
212031457,212031457,1.0
212031458,212031458,1.0
212041309,212041309,1.0
212041310,212041310,1.0
212041311,212041563,0.7048519
212041311,212041564,0.2951481
212041312,212041312,1.0
212041313,212041313,1.0
212041314,212041565,0.5778649
212041314,212041566,0.4221351
212041316,212041316,1.0
212041317,212041317,1.0
212041318,212041318,1.0
212041459,212041459,1.0
212041460,212041460,1.0
212051319,212051319,1.0
212051320,212051567,0.4035626
212051320,212051568,0.5964374
212051321,212051321,1.0
212051322,212051322,1.0
212051323,212051323,1.0
212051324,212051324,1.0
212051325,212051325,1.0
212051326,212051326,1.0
212051327,212051327,1.0
213011328,213011328,1.0
213011329,213011329,1.0
213011330,213011569,0.6854995
213011330,213011570,0.3145005
213011331,213011331,1.0
213011332,213011332,1.0
213011333,213011333,1.0
213011334,213011334,1.0
213011335,213011335,1.0
213011336,213011336,1.0
213011337,213011337,1.0
213011338,213011338,1.0
213011339,213011339,1.0
213011340,213011340,1.0
213021341,213021341,1.0
213021342,213021342,1.0
213021343,213021343,1.0
213021344,213021344,1.0
213021345,213021345,1.0
213021346,213021346,1.0
213031347,213031347,1.0
213031348,213031348,1.0
213031349,213031349,1.0
213031350,213031350,1.0
213031351,213031351,1.0
213031352,213031352,1.0
213041353,213041353,1.0
213041355,213041574,0.2130916
213041355,213041575,0.7869084
213041356,213041576,0.5769149
213041356,213041577,0.4230851
213041357,213041571,0.3804057
213041357,213041572,0.0403635
213041357,213041573,0.115126
213041357,213041578,0.4641048
213041358,213041358,1.0
213041359,213041359,1.0
213041360,213041360,1.0
213041461,213041461,1.0
213041462,213041462,1.0
213041463,213041463,1.0
213051361,213051361,1.0
213051362,213051362,1.0
213051363,213051363,1.0
213051365,213051582,0.0078902
213051365,213051583,0.6960964
213051365,213051584,0.0047993
213051365,213051585,0.2912141
213051366,213051586,0.0008384
213051366,213051587,0.2573492
213051366,213051588,0.7418123
213051368,213051368,1.0
213051369,213051579,0.126619
213051369,213051589,0.2119933
213051369,213051590,0.6613877
213051464,213051464,1.0
213051465,213051580,0.621779
213051465,213051581,0.378221
213051466,213051466,1.0
213051467,213051467,1.0
