sa2_code,sa2_name,earners2015-2016,earners2016-2017,earners2017-2018,earners2018-2019,earners2019-2020,median_age2015-2016,median_age2016-2017,median_age2017-2018,median_age2018-2019,median_age2019-2020,earningsum2015-2016,earningsum2016-2017,earningsum2017-2018,earningsum2018-2019,earningsum2019-2020,earningmedian2015-2016,earningmedian2016-2017,earningmedian2017-2018,earningmedian2018-2019,earningmedian2019-2020,eariningmean2015-2016,eariningmean2016-2017,eariningmean2017-2018,eariningmean2018-2019,eariningmean2019-2020
504031059,Ellenbrook,19878,21508,22528,23888,25265,37,37,37,37,38,1295022017,1362548181,1450520272,1553067198,1680822854,56796,56022,57067,58067,59184,65149,63351,64387,65015,66528
504031060,Gidgegannup,1815,1814,1859,1885,1881,48,48,49,49,49,135295329,129795851,136385394,152667285,147330414,51280,50908,52518,55208,58482,74543,71552,73365,80991,78326
504031061,Hazelmere - Guildford,2526,2608,2726,2902,3064,42,42,42,41,41,172920584,173561246,188576424,205521802,224677636,58329,56785,58461,61254,64664,68456,66550,69177,70821,73328
504031062,Lockridge - Kiara,5905,6243,6414,6650,6797,38,38,38,38,38,353825430,372152955,388704401,413641647,435221027,52166,52309,53551,54656,56480,59920,59611,60602,62202,64031
504031063,Malaga,139,150,148,136,153,47,48,49,50,51,11937521,13455708,11344405,11494640,15311275,70669,58389,48634,56568,68164,85881,89705,76651,84519,100074
504031064,Melaleuca - Lexia,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
504031065,Middle Swan - Herne Hill,3059,3032,3141,3154,3224,44,44,44,44,44,184803363,174951244,183828066,192476810,201610230,50879,48432,49764,51411,52893,60413,57702,58525,61026,62534
504031066,Midland - Guildford,5616,5590,5683,5795,5853,41,41,42,41,41,349190903,335202673,346078382,360125906,382294878,52388,50088,51632,52618,54361,62178,59965,60897,62144,65316
504031067,Stratton - Jane Brook,3996,3999,4042,4124,4145,41,41,42,42,42,250436291,247808788,253040400,268144772,274394174,54979,53429,55149,56758,58035,62672,61968,62603,65021,66199
504031068,The Vines,6007,6518,6780,7058,7257,43,42,43,42,42,439466345,458489520,497118011,513363696,547776169,57129,56352,57395,58724,59398,73159,70342,73321,72735,75482
504031069,Walyunga National Park,np,np,np,np,np,np,np,np,np,np,np,,np,np,np,np,np,np,np,np,np,np,np,np,np
505011070,Craigie - Beldon,6111,6005,6077,6153,6302,38,38,39,38,39,368827133,354933761,365665233,377831906,399938970,53683,52922,54456,55086,57464,60355,59106,60172,61406,63462
505011071,Currambine - Kinross,9035,8738,8870,8941,8890,43,44,44,44,44,587571128,554833173,568874376,588370085,595842206,53159,51702,53637,54185,55718,65033,63497,64135,65806,67024
505011072,Duncraig,9953,9867,9808,9845,9910,46,46,47,47,47,745815059,702372884,715390167,733094689,753640318,56444,55073,56038,56909,59237,74934,71184,72939,74464,76048
505011073,Greenwood - Warwick,8478,8205,8249,8191,8213,43,44,44,44,44,521932500,489576998,503655205,511644600,526544301,51850,50288,51476,53304,54904,61563,59668,61057,62464,64111
505011074,Heathridge - Connolly,6760,6524,6669,6696,6624,42,42,42,42,42,428276851,405789323,418711991,431004194,440415610,51588,51298,51928,53903,55255,63355,62199,62785,64367,66488
505011075,Hillarys,7602,7569,7584,7566,7530,47,47,48,48,48,631028982,604083619,606787505,640761492,630205817,56913,55258,55896,57857,60111,83008,79810,80009,84690,83693
505011076,Iluka - Burns Beach,5915,6146,6303,6473,6534,46,46,46,47,47,509894219,506855467,527015468,561060437,583513827,61986,58835,60123,62159,64133,86204,82469,83613,86677,89304
