postcode,sa2_maincode_2016
2540,114011276
2540,114011283
2541,114011277
2541,114011278
2545,101041022
2545,101041024
2545,101041020
2546,101041027
2546,101041020
2546,101041022
2548,101041025
2548,101041020
2549,101041025
2549,101041020
2550,101041020
2550,101041019
2550,101041025
2550,101041022
2551,101041023
2551,101041020
2555,127011592
2556,127011506
2557,127011506
2557,127011505
2558,123021438
2559,123021438
2560,123021436
2560,123021444
2560,123031446
2560,123021437
2560,107021135
2560,123021441
2563,123021444
2564,123021442
2565,123021440
2566,123021443
2566,123021441
2566,123021438
2567,123011435
2567,123011434
2568,123031446
2569,123031446
2570,123031448
2570,123011433
2570,127011506
2570,123011434
2570,123011435
2571,114021285
2571,123031447
2571,123031446
2572,123031447
2573,123031447
2574,107021135
2574,123031445
2575,114021285
2575,114021286
2575,101051540
2575,114021289
2575,107021135
2576,114021284
2576,114021288
2577,114021288
2577,107031140
2577,114011272
2577,114021289
2577,114021287
2577,107031136
2578,114021289
2579,101051540
2579,114021289
2580,101051540
2580,101051539
2580,103011061
2580,101021007
2580,101021011
2581,101061542
2581,101051540
2581,101021011
2582,101061541
2582,101061542
2583,101051540
2583,101061544
2584,101061542
2585,101061544
2586,101061544
2586,101061542
2587,101061544
2587,101061543
2588,113031263
2590,113031265
2590,113031263
2594,101061544
2594,101061543
2600,801061129
2600,801061070
2600,801061068
2600,801061062
2600,801051125
2600,801031114
2600,801031113
2600,801051128
2601,801051049
2601,801051053
2602,801051050
2602,801051054
2602,801051055
2602,801051056
2602,801051057
2602,801051058
2602,801051061
2603,801061063
2603,801061064
2603,801061069
2604,801061131
2604,801061067
2605,801091100
2605,801091102
2605,801091103
2606,801091099
2606,801091105
2606,801091107
2606,801091109
2607,801091101
2607,801091104
2607,801091106
2607,801091108
2607,801091110
2608,801051053
2609,801031114
2609,801061130
2609,801031115
2609,801031113
2610,801051053
2611,113021262
2611,801081091
2611,801101135
2611,801101136
2611,801081092
2611,801081093
2611,801081094
2611,801111140
2611,801111141
2611,801081095
2611,801081096
2611,101061542
2611,801081097
2611,801081098
2611,801101139
2612,801051051
2612,801051127
2612,801051060
2614,801011001
2614,801011005
2614,801011013
2614,801011020
2614,801011023
2614,801011024
2614,801011026
2615,801011004
2615,801011006
2615,801011008
2615,801011009
2615,801011010
2615,801011014
2615,801011015
2615,801011017
2615,801011019
2615,801011022
2615,801011025
2615,801011112
2616,801011017
2617,801011018
2617,801011002
2617,801011003
2617,801011007
2617,801011011
2617,801011016
2617,801011021
2618,801041043
2618,101061542
2619,101021012
2620,801031113
2620,101021011
2620,101021009
2620,101021010
2620,101061542
2620,801031031
2620,101021008
2620,801031032
2620,101021012
2620,801111140
2620,801111141
2621,101021011
2622,101021007
2622,114011275
2622,101021011
2622,101041024
2622,101041022
2623,101021011
2624,101031016
2625,101031016
2626,101031015
2627,101031016
2627,101031015
2627,113021260
2628,101031016
2628,101031013
2629,101031015
2629,113021262
2630,101031015
2630,101031016
2630,101031013
2630,101031014
2630,113021262
2631,101031013
2631,101031015
2632,101031013
2632,101041020
2633,101031013
2640,109011174
2640,109011175
2640,109011172
2640,109011173
2640,109011176
2640,113021260
2641,109011173
2641,109011176
2642,113031271
2642,109011175
2642,113021260
2642,109031181
2643,109031181
2644,109011175
2645,109031181
2645,113031271
2646,109031181
2646,109031180
2646,109031185
2647,109031181
2648,109021179
2648,109021178
2648,105021098
2649,113021262
2649,113021260
2650,113031271
2650,113031270
2650,113031268
2650,113031269
2650,109011175
2650,113031267
2650,113031265
2650,113021260
2651,113031271
2652,113011257
2652,113011259
2652,113031271
2652,113031267
2652,113031265
2652,113021260
2653,113021260
2655,113031271
2656,113031271
2658,113031271
2658,109011175
2659,109011175
2660,109011175
2661,113031270
2663,109031185
2663,113031264
2663,113031271
2663,113031265
2665,113031266
2665,113011259
2665,103021069
2665,113011257
2666,113031266
2666,113031265
2668,103021069
2669,103021062
2669,113011257
2669,103021069
2671,103021069
2671,103021062
2672,103021062
2672,105011093
2675,113011257
2678,113031268
2680,113011257
2680,113011256
2681,113011257
2700,113011259
2700,109031185
2701,113031271
2702,113031271
2703,113011258
2705,113011259
2705,113011257
2705,113011258
2706,113011257
2707,109031185
2707,113011257
2708,109011174
2708,109031183
2710,109031183
2710,109031184
2710,109031182
2711,109021177
2711,113011257
2711,109021179
2711,109031183
2712,109031185
2713,109031183
2713,109031185
2714,109031183
2714,109031185
2715,109021179
2716,109031183
2716,113011257
2716,109031185
2717,109021178
2720,113021262
2720,113021261
2721,103021069
2722,113031263
2722,113031264
2722,113021262
2725,113031263
2726,101061542
2726,101061544
2727,113031264
2729,113021262
2729,110021194
2729,113031264
2730,113021262
2731,109031183
2731,109031184
2732,109031183
2733,109031183
2733,109021179
2734,109031183
2734,109021179
2735,109031183
2736,109021179
2737,109021179
2738,109021178
2738,109021179
2739,109021178
2745,124031460
2745,127011505
2745,127011592
2745,124031463
2747,124031462
2747,124031457
2747,124031458
2747,116021312
2748,124031463
2749,124031458
2750,124031459
2750,124031461
2750,124031464
2751,124031464
2752,124031465
2753,124041466
2753,115031300
2753,124041468
2754,124041466
2754,115031300
2756,124041467
2756,115021297
2756,115031299
2756,124041466
2756,115031300
2756,115041301
2757,115031300
2758,115031299
2758,115031300
2758,124011451
2759,124051469
2759,124051470
2760,124051580
2760,124051581
2760,116031316
2761,116021312
2761,116031314
2761,116031315
2762,116021312
2763,116021562
2763,116021563
2765,124041468
2765,115041302
2765,115041301
2765,116021312
2766,116031318
2766,116031319
2767,116031319
2767,116011306
2768,116021309
2768,116021310
2769,116021312
2770,116031313
2770,116031316
2770,116031319
2770,116031317
2773,124011450
2774,124011450
2775,115031299
2775,102011030
2775,115021298
2775,115021297
2776,124011454
2777,124011454
2778,124011453
2779,124011453
2780,124011452
2782,124011455
2783,124011453
2784,124011453
2785,124011449
2786,124011449
2786,103031071
2786,115031299
2787,103011061
2787,124021456
2787,103031071
2790,103031071
2790,103031070
2790,103011061
2790,103031075
2791,103041076
2792,103041076
2793,103021064
2794,103021064
2794,103021063
2794,101061544
2795,103011058
2795,101051540
2795,103011060
2795,103011061
2795,103031071
2795,103011059
2795,103041076
2795,103031074
2795,103031073
2797,103041076
2798,103041076
2798,103041079
2799,103041076
2799,103011060
2800,103041078
2800,103041079
2800,103041077
2800,103021064
2800,103041076
2803,101061544
2804,103021064
2805,103021064
2806,103021065
2807,103021064
2808,101061544
2809,103021066
2810,103021066
2817,105031104
2818,105031103
2818,105031106
2820,105031106
2820,105031103
2821,105031105
2822,105031104
2822,105031103
2823,105031105
2824,105011095
2824,105011094
2825,105011095
2826,105011095
2827,105031104
2828,105031104
2828,105011094
2828,105031099
2829,105011094
2829,105031099
2830,105031103
2830,105031100
2830,105031101
2830,105031102
2830,105031104
2831,105031104
2831,105011095
2831,105011094
2831,105011092
2831,105011096
2831,105031103
2831,105031106
2831,105031099
2831,105011093
2832,105011096
2832,110031198
2833,105011096
2834,105011096
2835,105011093
2836,105021098
2838,105011096
2839,105011092
2840,105011092
2840,105011093
2840,105021098
2842,105031099
2843,105031099
2844,103031074
2845,103031075
2845,103031071
2846,103031071
2846,202011022
2847,103031071
2848,103031073
2849,103031071
2849,103031073
2849,103031075
2850,103031073
2850,103031074
2850,105031106
2850,103031072
2850,103011060
2852,103031074
2864,103041079
2864,103021065
2865,103041079
2866,103041079
2866,105031106
2867,103041079
2867,105031106
2868,105031106
2868,105031103
2869,103021068
2869,105031105
2870,103021068
2870,103041079
2870,103021065
2870,103021067
2871,103021065
2871,103021062
2873,103021062
2873,105011095
2874,103021062
2875,103021068
2875,103021062
2876,103021068
2876,103021065
2877,105011095
2877,103021062
2877,105011093
2878,105021098
2879,105021098
2880,105021097
2880,105021098
2880,315031411
2890,105011095
2891,117031337
2898,108031161
2899,901041004
2900,801071080
2901,801071080
2902,801071082
2903,801071090
2903,801071086
2904,801071076
2904,801071079
2904,801071083
2904,801071084
2905,801071072
2905,801071073
2905,801071074
2905,801071077
2905,801071081
2905,801071087
2905,801071088
2906,801071071
2906,801071075
2906,801071078
2911,801041037
2911,801041045
2912,801041040
2913,801041036
2913,801041039
2913,801041046
2913,801041047
2913,801041048
2914,801041034
2914,801041035
2914,801041038
2914,801041044
2914,801041118
2914,801041120
2914,801041122
3000,206041122
3001,206041122
3002,206041119
3003,206041127
3004,206041126
3004,206041125
3005,206041118
3006,206041126
3006,206051132
3008,206041118
3010,206041124
3011,213031348
3011,213031350
3012,213011338
3012,213031350
3012,213031347
3012,213031351
3013,213031352
3015,213021344
3016,213021346
3018,213021341
3019,213031347
3020,213011328
3020,213011338
3020,213011336
3020,213011337
3021,213011333
3021,213011332
3021,213011334
3022,213011328
3023,213041461
3023,213041462
3023,213011329
3023,213041463
3023,213011330
3023,213041359
3024,213041359
3024,213051468
3024,213051369
3024,213051365
3025,213021343
3026,213011330
3026,213051363
3027,213051363
3027,213051464
3028,213021342
3028,213051363
3028,213021345
3029,213051361
3029,213051365
